documentNumber,paragraphNumber
3765,"2.2","22.1.1.","Капитальные вложения в объекты недвижимого имущества государственной (муниципальной) собственности","0702","3350141","400","-73191.1"
3765,"2.2","22.1.1.","Капитальные вложения в объекты недвижимого имущества государственной (муниципальной) собственности","0702","3380141","400","-73191.1"
3765,"3.2","14.4.","Расходы на капитальные вложения по отрасли ""Общее образование"" в соответствии с Адресной инвестиционной программой","0?02","3380049","","+320177.4","+0.0"
3765,"3.2","14.4.","Расходы на капитальные вложения по отрасли ""Общее образование"" в соответствии с Адресной инвестиционной программой","0702","3380049","","+320177.4","+0.0"
3765,"6.3","ЦЕЛЕВАЯ ПРОГРАММА САНКТ-ПЕТЕРБУРГА ""СОХРАНЕНИЕ И РАЗВИТИЕ ТЕРРИТОРИЙ ""КОНЮШЕННАЯ"" И ""СЕВЕРНАЯ КОЛОМНА - НОВАЯ ГОЛЛАНДИЯ"", НАХОДЯЩИХСЯ В ИСТОРИЧЕСКОМ ЦЕНТРЕ САНКТ-ПЕТЕРБУРГА, НА 2013-2018 ГОДЫ"". ПРОЕКТИРОВАНИЕ И РЕКОНСТРУКЦИЯ ГАЗОПРОВОДОВ","САНКТ-ПЕТЕРБУРГ","2013-201","","+10.0","+0.0","+0.0"
3765,"6.3","ЦЕЛЕВАЯ ПРОГРАММА САНКТ-ПЕТЕРБУРГА ""СОХРАНЕНИЕ И РАЗВИТИЕ ТЕРРИТОРИЙ ""КОНЮШЕННАЯ"" И ""СЕВЕРНАЯ КОЛОМНА - НОВАЯ ГОЛЛАНДИЯ"", НАХОДЯЩИХСЯ В ИСТОРИЧЕСКОМ ЦЕНТРЕ САНКТ-ПЕТЕРБУРГА, НА 2013-2018 ГОДЫ"". ПРОЕКТИРОВАНИЕ И РЕКОНСТРУКЦИЯ ГАЗОПРОВОДОВ","САНКТ-ПЕТЕРБУРГ","2013-2018","","+10.0","+0.0","+0.0"
3765,"7.1.1","1.1.","Расходы на увеличение уставного фонда государственного унитарного предприятия ""Топливно-энергетический комплекс Санкт-Петербурга""","0502","0921386",,"-780995"
3765,"7.1.1","1.1.","Расходы на увеличение уставного фонда государственного унитарного предприятия ""Топливно-энергетический комплекс Санкт-Петербурга""","0502","0921386",,"-78099.5"
3765,"7.1.3","БЮДЖЕТНЫЕ ИНВЕСТИЦИИ ГУП ""ВОДОКАНАЛ САНКТ-ПЕТЕРБУРГА""","","","","","",""
3765,"7.1.3","БЮДЖЕТНЫЕ ИНВЕСТИЦИИ ГУП ""ВОДОКАНАЛ САНКТ-ПЕТЕРБУРГА""","","","","+136800.0","+161300.0","+0.0"
3765,"7.1.3","БЮДЖЕТНЫЕ ИНВЕСТИЦИИ ГУП ""ТЭК САНКТ-ПЕТЕРБУРГА""","","","","","",""
3765,"7.1.3","БЮДЖЕТНЫЕ ИНВЕСТИЦИИ ГУП ""ТЭК САНКТ-ПЕТЕРБУРГА""","","","","+78099.5","+46160.0","+13240.0"
3765,"7.2.3","ЗАКАЗЧИК: КОМИТЕТ ПО РАЗВИТИЮ ПРЕДПРИНИМАТЕЛЬСТВА И ПОТРЕБИТЕЛЬСКОГО РЫНКА САНКТ-ПЕТЕРБУРГА","","","","+950000.0","+39950.0",""
3765,"7.2.3","ЗАКАЗЧИК: КОМИТЕТ ПО РАЗВИТИЮ ПРЕДПРИНИМАТЕЛЬСТВА И ПОТРЕБИТЕЛЬСКОГО РЫНКА САНКТ-ПЕТЕРБУРГА","","","","+950000.0","+39950.0","+0.0"
3765,"7.2.3","БЮДЖЕТНЫЕ ИНВЕСТИЦИИ САНКТ-ПЕТЕРБУРГСКОМУ ГОСУДАРСТВЕННОМУ УНИТАРНОМУ ПРЕДПРИЯТИЮ ""ПРОДОВОЛЬСТВЕННЫЙ ФОНД""","","","","","",""
3765,"7.2.3","БЮДЖЕТНЫЕ ИНВЕСТИЦИИ САНКТ-ПЕТЕРБУРГСКОМУ ГОСУДАРСТВЕННОМУ УНИТАРНОМУ ПРЕДПРИЯТИЮ ""ПРОДОВОЛЬСТВЕННЫЙ ФОНД""","","","","+950000.0","+39950.0","+0.0"
3765,"7.3.2","2.11.1.","Капитальные вложения в объекты недвижимого имущества государственной (муниципальной) собственности","0502","520226","400","-27010.0","-353990.0"
3765,"7.3.2","2.11.1.","Капитальные вложения в объекты недвижимого имущества государственной (муниципальной) собственности","0502","5220226","400","-27010.0","-353990.0"
3765,"7.3.3","РЕКОНСТРУКЦИЯ 4-Й КРАСНОГВАРДЕЙСКОЙ КОТЕЛЬНОЙ С УВЕЛИЧЕНИЕМ МОЩНОСТИ ПО АДРЕСУ: ЕКАТЕРИНИНСКИЙ ПР., Д.7","КРАСНОГВАРДЕЙС КИЙ","2014-20И","","+10000.0","+19831.6","+0.0"
3765,"7.3.3","РЕКОНСТРУКЦИЯ 4-Й КРАСНОГВАРДЕЙСКОЙ КОТЕЛЬНОЙ С УВЕЛИЧЕНИЕМ МОЩНОСТИ ПО АДРЕСУ: ЕКАТЕРИНИНСКИЙ ПР., Д.7","КРАСНОГВАРДЕЙСКИЙ","2014-2015","","+10000.0","+19831.6","+0.0"
